instruction,input,output,generated
"Objective:

Generate a Sanskrit verse in Anuṣṭubh meter based on a given meaning while strictly following the metrical rules.

Rules of Chandas:

• The verse must follow the Anuṣṭubh meter.
• The verse must contain exactly 32 syllables.
• Output exactly four lines (one pāda per line).
• Use only Sanskrit in Devanagari script.
• Do not include explanations or extra text.


Language:
The generated verse must be in Sanskrit in Devanagari script.
The input meaning is given in Hindi.
Do NOT include English words, transliteration, labels, or explanations.

Output Format:
(Output exactly 4 lines, one pada per line. Nothing else.)

Now generate the Sanskrit verse for the given Hindi meaning.

Meaning:
मित्रो ! क्या करनेसे हमलोगों की भलाई होगी ? हमारे लिये कौनसा कार्य शेष रह गया है? कैसे करने से हमारा कार्य शुभ परिणामजनक होगा ? क्या करनेमें हमारा हित है ? आज इसी विपयार हमलोगोंको विचार करना है

Sanskrit Verse:
",मित्रो ! क्या करनेसे हमलोगों की भलाई होगी ? हमारे लिये कौनसा कार्य शेष रह गया है? कैसे करने से हमारा कार्य शुभ परिणामजनक होगा ? क्या करनेमें हमारा हित है ? आज इसी विपयार हमलोगोंको विचार करना है,किमस्माकं भयेच्छ्रेयः किं कार्यमवशिष्यते कथं च सुकृतं तत् स्यान्मन्त्रयामोऽद्य यद्धितम् ॥,मित्रो! कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं कृत्यं
"Objective:

Generate a Sanskrit verse in Anuṣṭubh meter based on a given meaning while strictly following the metrical rules.

Rules of Chandas:

• The verse must follow the Anuṣṭubh meter.
• The verse must contain exactly 32 syllables.
• Output exactly four lines (one pāda per line).
• Use only Sanskrit in Devanagari script.
• Do not include explanations or extra text.


Language:
The generated verse must be in Sanskrit in Devanagari script.
The input meaning is given in Hindi.
Do NOT include English words, transliteration, labels, or explanations.

Output Format:
(Output exactly 4 lines, one pada per line. Nothing else.)

Now generate the Sanskrit verse for the given Hindi meaning.

Meaning:
और जो यह इन्द्रिय तथा विषयोंके संयोगसे उत्पन्न होनेवाले सब भोग हैं, वे यद्यपि विषयी पुरुषको सुखरूप भासते हैं तो भी निःसन्देह दुःखके ही हेतु हैं और आदि अन्तवाले अर्थात् अनित्य हैं, इसलिये हे अर्जुन ! बुद्धिमान्, विवेकी पुरुष उनमें नहीं रमता ॥

Sanskrit Verse:
","और जो यह इन्द्रिय तथा विषयोंके संयोगसे उत्पन्न होनेवाले सब भोग हैं, वे यद्यपि विषयी पुरुषको सुखरूप भासते हैं तो भी निःसन्देह दुःखके ही हेतु हैं और आदि अन्तवाले अर्थात् अनित्य हैं, इसलिये हे अर्जुन ! बुद्धिमान्, विवेकी पुरुष उनमें नहीं रमता ॥",ये हि संस्पर्शजा भोगा दुःखयोनय एव ते आद्यन्तवन्तः कौन्तेय न तेषु रमते बुधः ॥,"अस्मिन् इन्द्रियैः विषयैः संयोगेण उत्पन्ना भोगाः, यथा विषयीः पुरुषः सुखं भासते, निःसंदेह दुःखं ह्यर्थं यत्, अनित्यं तद्विदान् अर्जुन, विवेकवान्।"
"Objective:

Generate a Sanskrit verse in Anuṣṭubh meter based on a given meaning while strictly following the metrical rules.

Rules of Chandas:

• The verse must follow the Anuṣṭubh meter.
• The verse must contain exactly 32 syllables.
• Output exactly four lines (one pāda per line).
• Use only Sanskrit in Devanagari script.
• Do not include explanations or extra text.


Language:
The generated verse must be in Sanskrit in Devanagari script.
The input meaning is given in Hindi.
Do NOT include English words, transliteration, labels, or explanations.

Output Format:
(Output exactly 4 lines, one pada per line. Nothing else.)

Now generate the Sanskrit verse for the given Hindi meaning.

Meaning:
वैशम्पायनजी कहते हैंजनमेजय ! तदनन्तर साक्षात्‌ इन्द्र अपने उत्तम हाथी ऐरावतपर आरूढ़ हो तपस्यामें लगे हुए सर्वेश्वर श्रीकृष्णका दर्शन करनेके लिये वहाँ आये ॥

Sanskrit Verse:
",वैशम्पायनजी कहते हैंजनमेजय ! तदनन्तर साक्षात्‌ इन्द्र अपने उत्तम हाथी ऐरावतपर आरूढ़ हो तपस्यामें लगे हुए सर्वेश्वर श्रीकृष्णका दर्शन करनेके लिये वहाँ आये ॥,तत इन्द्र: स्वयं तत्र आरुह्म गजमुत्तमम्‌ द्रष्ट सर्वेश्वरं विष्णुं तपस्यन्तं समाययौ॥,"वैशम्पायनः कथयति: जनमेजय! तदनन्तरं साक्षात् इन्द्रः,
अईरावतं हस्तिं प्राप्य तपः प्राप्य,
सर्वेश्वरः श्रीकृष्णं दर्शनार्थं,
वहं तत्र आगतः।"
"Objective:

Generate a Sanskrit verse in Anuṣṭubh meter based on a given meaning while strictly following the metrical rules.

Rules of Chandas:

• The verse must follow the Anuṣṭubh meter.
• The verse must contain exactly 32 syllables.
• Output exactly four lines (one pāda per line).
• Use only Sanskrit in Devanagari script.
• Do not include explanations or extra text.


Language:
The generated verse must be in Sanskrit in Devanagari script.
The input meaning is given in Hindi.
Do NOT include English words, transliteration, labels, or explanations.

Output Format:
(Output exactly 4 lines, one pada per line. Nothing else.)

Now generate the Sanskrit verse for the given Hindi meaning.

Meaning:
रामराम' ऐसा घोष करना सम्पूर्ण संसारबीजोंको भून डालनेवाला, समस्त इति श्रीबुधकौशिकमुनिविरचितं श्रीरामरक्षास्तोत्रं सम्पूर्णम् सुखसम्पत्तिकी प्राप्ति करानेवाला तथा यमदूतोंको भयभीत करनेवाला ॥

Sanskrit Verse:
","रामराम' ऐसा घोष करना सम्पूर्ण संसारबीजोंको भून डालनेवाला, समस्त इति श्रीबुधकौशिकमुनिविरचितं श्रीरामरक्षास्तोत्रं सम्पूर्णम् सुखसम्पत्तिकी प्राप्ति करानेवाला तथा यमदूतोंको भयभीत करनेवाला ॥",भर्जनं भवबीजानामर्जनं सुखसम्पदाम् तर्जनं यमदूतानां रामरामेति गर्जनम् ॥,"राम रामेण सर्वं जगत्संभवं नष्टं करोति,
समस्तं सर्वं श्रीबुधकौशिकमुनिवरं रामरक्षास्तोत्रं,
सर्वसंपत्तिकं सुखं लभते यत् सर्वं नष्टं करोति,
यमदूतानां भयं करोति।"
"Objective:

Generate a Sanskrit verse in Anuṣṭubh meter based on a given meaning while strictly following the metrical rules.

Rules of Chandas:

• The verse must follow the Anuṣṭubh meter.
• The verse must contain exactly 32 syllables.
• Output exactly four lines (one pāda per line).
• Use only Sanskrit in Devanagari script.
• Do not include explanations or extra text.


Language:
The generated verse must be in Sanskrit in Devanagari script.
The input meaning is given in Hindi.
Do NOT include English words, transliteration, labels, or explanations.

Output Format:
(Output exactly 4 lines, one pada per line. Nothing else.)

Now generate the Sanskrit verse for the given Hindi meaning.

Meaning:
जिनकी स्तुति की गयी थी, उन कमलनयन सर्वव्यापी ईश्वर जनार्दन हरिके पास समस्त यादव गये और उन्हें घेरकर खड़े हो गये ॥

Sanskrit Verse:
","जिनकी स्तुति की गयी थी, उन कमलनयन सर्वव्यापी ईश्वर जनार्दन हरिके पास समस्त यादव गये और उन्हें घेरकर खड़े हो गये ॥",स्तुत्या स्तुतं हरिं विष्णुमी श्वरं कमलेक्षणम्‌ गताश्व यादवाः सर्वे परिवत्रुर्जनार्दनम्‌॥,"जिनकी स्तुति की गयी थी, उन कमलनयन सर्वव्यापी ईश्वर जनार्दन हरिके पास समस्त यादव गये और उन्हें घेरकर खड़े हो गये ॥  
सर्वव्यापी हरिके पास, जनार्दन की स्तुति, कमलनयन देवता ने देखा, और घेरकर खड़े हो गए ॥  
हरिके पास, जनार्दन की स्तुति, कमलनयन"
"Objective:

Generate a Sanskrit verse in Anuṣṭubh meter based on a given meaning while strictly following the metrical rules.

Rules of Chandas:

• The verse must follow the Anuṣṭubh meter.
• The verse must contain exactly 32 syllables.
• Output exactly four lines (one pāda per line).
• Use only Sanskrit in Devanagari script.
• Do not include explanations or extra text.


Language:
The generated verse must be in Sanskrit in Devanagari script.
The input meaning is given in Hindi.
Do NOT include English words, transliteration, labels, or explanations.

Output Format:
(Output exactly 4 lines, one pada per line. Nothing else.)

Now generate the Sanskrit verse for the given Hindi meaning.

Meaning:
तदनन्तर अक्रूर के आने का समाचार पाकर तथा उस महान् धनुष को भग्न हुआ सुनकर कंस ने चाणूर और मुष्टिक से कहा ॥

Sanskrit Verse:
",तदनन्तर अक्रूर के आने का समाचार पाकर तथा उस महान् धनुष को भग्न हुआ सुनकर कंस ने चाणूर और मुष्टिक से कहा ॥,अक्रूरागमवृत्तान्तमुपलभ्य महद्धनुः भग्नं श्रुत्वा च कंसोऽपि प्राह चाणूरमुष्टिक ॥,"तदनन्तरं अक्रूरं श्रवणं कंसः पादं चाणूरं मुष्टिकं च।  
विजयं लब्धं तदनन्तरं श्रवणं कंसः पादं चाणूरं मुष्टिकं च।  
तदनन्तरं अक्रूरं श्रवणं कंसः पादं चाणूरं मुष्टिकं च।"
"Objective:

Generate a Sanskrit verse in Anuṣṭubh meter based on a given meaning while strictly following the metrical rules.

Rules of Chandas:

• The verse must follow the Anuṣṭubh meter.
• The verse must contain exactly 32 syllables.
• Output exactly four lines (one pāda per line).
• Use only Sanskrit in Devanagari script.
• Do not include explanations or extra text.


Language:
The generated verse must be in Sanskrit in Devanagari script.
The input meaning is given in Hindi.
Do NOT include English words, transliteration, labels, or explanations.

Output Format:
(Output exactly 4 lines, one pada per line. Nothing else.)

Now generate the Sanskrit verse for the given Hindi meaning.

Meaning:
 जो इस शरीरक रहते ही काम क्रोध आदिसे उपजनेवाले वेगको रोग सकता है वही योगी है और बहुत कालतक सुख भोगता है ॥

Sanskrit Verse:
", जो इस शरीरक रहते ही काम क्रोध आदिसे उपजनेवाले वेगको रोग सकता है वही योगी है और बहुत कालतक सुख भोगता है ॥,कारणे सति कामस्य क्रोधस्य सहते च यः ॥ तौ जेतुं वर्ष्मविरहात्स सुखं चिरमश्नुते ,"यस्यैष शरीरकायै नित्यं कर्मक्रोधादिसंयोगेण सन्तुष्टः,
यः योगो योगो योगो, तस्माद्वै सुखमाप्नोति कालात्।
यः योगो योगो योगो, तस्माद्वै सुखमाप्नोति कालात्।
यः योगो योगो योगो, तस्माद्वै सुखमाप्नोति कालात्"
"Objective:

Generate a Sanskrit verse in Anuṣṭubh meter based on a given meaning while strictly following the metrical rules.

Rules of Chandas:

• The verse must follow the Anuṣṭubh meter.
• The verse must contain exactly 32 syllables.
• Output exactly four lines (one pāda per line).
• Use only Sanskrit in Devanagari script.
• Do not include explanations or extra text.


Language:
The generated verse must be in Sanskrit in Devanagari script.
The input meaning is given in Hindi.
Do NOT include English words, transliteration, labels, or explanations.

Output Format:
(Output exactly 4 lines, one pada per line. Nothing else.)

Now generate the Sanskrit verse for the given Hindi meaning.

Meaning:
सम्पूर्ण प्राणियोंका विनाश होनेपर भी उसे भय नहीं होता सबके क्लेश उठानेपर भी उसको किसीसे क्लेश नहीं पहुँचता ॥

Sanskrit Verse:
",सम्पूर्ण प्राणियोंका विनाश होनेपर भी उसे भय नहीं होता सबके क्लेश उठानेपर भी उसको किसीसे क्लेश नहीं पहुँचता ॥,विनश्यत्सु च भूतेषु न भयं तस्य जायते क्लिश्यमानेषु भूतेषु न स क्लिश्यति केनचित् ॥,"सम्पूर्ण प्राणियोंका विनाश होनेपर भी उसे भय नहीं होता
सबके क्लेश उठानेपर भी उसको किसीसे क्लेश नहीं पहुँचता
सर्वे दुःखेण सहन करनेपर भी उसे नाश नहीं होता
सर्वे दुःखेण सहन करनेपर भी उसे भय नहीं होता"
"Objective:

Generate a Sanskrit verse in Anuṣṭubh meter based on a given meaning while strictly following the metrical rules.

Rules of Chandas:

• The verse must follow the Anuṣṭubh meter.
• The verse must contain exactly 32 syllables.
• Output exactly four lines (one pāda per line).
• Use only Sanskrit in Devanagari script.
• Do not include explanations or extra text.


Language:
The generated verse must be in Sanskrit in Devanagari script.
The input meaning is given in Hindi.
Do NOT include English words, transliteration, labels, or explanations.

Output Format:
(Output exactly 4 lines, one pada per line. Nothing else.)

Now generate the Sanskrit verse for the given Hindi meaning.

Meaning:
उस महाभयंकर संग्राम जोजो राजा मारे गये थे. उनके समस्त राष्ट्रोंको उन्होंके सभी पुत्रोंने प्रास किया ॥

Sanskrit Verse:
",उस महाभयंकर संग्राम जोजो राजा मारे गये थे. उनके समस्त राष्ट्रोंको उन्होंके सभी पुत्रोंने प्रास किया ॥,ये च तस्मिन् महारौद्रे संग्रामे निहता नृपाः तेषां सर्वाणि राष्ठाणि पुत्राः सर्वे प्रपेदिरे,"यद्वा महाबलान्वित युद्धे राजानः पाण्डवाः,
तत्सर्वराज्याणि तेषां पुत्राः प्राप्य तेषां सर्वा।
अस्माकं च सर्वं तु कृतं तेषां पुत्रैः प्राप्य,
तत्प्राप्यं तेषां सर्वं तु कृतं तेषां पुत्रैः प्राप्य।"
"Objective:

Generate a Sanskrit verse in Anuṣṭubh meter based on a given meaning while strictly following the metrical rules.

Rules of Chandas:

• The verse must follow the Anuṣṭubh meter.
• The verse must contain exactly 32 syllables.
• Output exactly four lines (one pāda per line).
• Use only Sanskrit in Devanagari script.
• Do not include explanations or extra text.


Language:
The generated verse must be in Sanskrit in Devanagari script.
The input meaning is given in Hindi.
Do NOT include English words, transliteration, labels, or explanations.

Output Format:
(Output exactly 4 lines, one pada per line. Nothing else.)

Now generate the Sanskrit verse for the given Hindi meaning.

Meaning:
उस समयके मनुष्य म्लेच्छोंके साथ समूचे हिमालयके पार्श्रभागमें, लवणसमुद्रके तटपर तथा वनोंमें निवास करेंगे॥

Sanskrit Verse:
","उस समयके मनुष्य म्लेच्छोंके साथ समूचे हिमालयके पार्श्रभागमें, लवणसमुद्रके तटपर तथा वनोंमें निवास करेंगे॥",कृत्स्नं वा हिमवत्पा्श्व कूलं च लवणाम्भस: अरण्येषु च वत्स्यन्ति नरा म्लेच्छगणै: सह: ॥,"उस समयके मनुष्य म्लेच्छोंके साथ समूचे हिमालयके पार्श्रभागमें, लवणसमुद्रके तटपर तथा वनोंमें निवास करेंगे॥  
सर्वे देवताः सह समूचे हिमालयके पार्श्वे, लवणसमुद्रके तटस्थे वने निवासं कुरुते॥  
सर्वे देवताः सह समूचे हिमालयके पार्श्वे"
